nodenumber,    x-coordinate,    y-coordinate,  total-pressure
         1, 1.500000000E-05,-2.550000000E-05, 2.154155853E-05
         2, 1.520000000E-05,-2.550000000E-05, 2.304579744E-05
         3, 1.540000000E-05,-2.550000000E-05, 2.501550432E-05
         4, 1.560000000E-05,-2.550000000E-05, 2.501271449E-05
         5, 1.580000000E-05,-2.550000000E-05, 2.381156829E-05
         6, 1.600000000E-05,-2.550000000E-05, 2.225727820E-05
         7, 1.620000000E-05,-2.550000000E-05, 2.059069614E-05
         8, 1.640000000E-05,-2.550000000E-05, 1.889177616E-05
         9, 1.660000000E-05,-2.550000000E-05, 1.718345339E-05
        10, 1.680000000E-05,-2.550000000E-05, 1.548891136E-05
        11, 1.700000000E-05,-2.550000000E-05, 1.383466373E-05
        12, 1.720000000E-05,-2.550000000E-05, 1.224076081E-05
        13, 1.740000000E-05,-2.550000000E-05, 1.071943583E-05
        14, 1.760000000E-05,-2.550000000E-05, 9.270907469E-06
        15, 1.780000000E-05,-2.550000000E-05, 7.894909820E-06
        16, 1.800000000E-05,-2.550000000E-05, 6.593277122E-06
        17, 1.820000000E-05,-2.550000000E-05, 5.365431735E-06
        18, 1.840000000E-05,-2.550000000E-05, 4.210640576E-06
        19, 1.860000000E-05,-2.550000000E-05, 3.122727030E-06
        20, 1.880000000E-05,-2.550000000E-05, 2.093845578E-06
        21, 1.900000000E-05,-2.550000000E-05, 1.121135637E-06
        22, 1.920000000E-05,-2.550000000E-05, 2.066219819E-07
        23, 1.940000000E-05,-2.550000000E-05,-6.492961169E-07
        24, 1.960000000E-05,-2.550000000E-05,-1.452034592E-06
        25, 1.980000000E-05,-2.550000000E-05,-2.210387148E-06
        26, 2.000000000E-05,-2.550000000E-05,-2.927214063E-06
        27, 2.020000000E-05,-2.550000000E-05,-3.596654162E-06
        28, 2.040000000E-05,-2.550000000E-05,-4.217222894E-06
        29, 2.060000000E-05,-2.550000000E-05,-4.795131849E-06
        30, 2.080000000E-05,-2.550000000E-05,-5.340701908E-06
        31, 2.100000000E-05,-2.550000000E-05,-5.855897334E-06
        32, 2.120000000E-05,-2.550000000E-05,-6.332430210E-06
        33, 2.140000000E-05,-2.550000000E-05,-6.768380473E-06
        34, 2.160000000E-05,-2.550000000E-05,-7.170261730E-06
        35, 2.180000000E-05,-2.550000000E-05,-7.550027991E-06
        36, 2.200000000E-05,-2.550000000E-05,-7.909466229E-06
        37, 2.220000000E-05,-2.550000000E-05,-8.237728964E-06
        38, 2.240000000E-05,-2.550000000E-05,-8.532673993E-06
        39, 2.260000000E-05,-2.550000000E-05,-8.801964496E-06
        40, 2.280000000E-05,-2.550000000E-05,-9.056022977E-06
        41, 2.300000000E-05,-2.550000000E-05,-9.295101133E-06
        42, 2.320000000E-05,-2.550000000E-05,-9.509727930E-06
        43, 2.340000000E-05,-2.550000000E-05,-9.698355928E-06
        44, 2.360000000E-05,-2.550000000E-05,-9.867554284E-06
        45, 2.380000000E-05,-2.550000000E-05,-1.002543373E-05
        46, 2.400000000E-05,-2.550000000E-05,-1.017197363E-05
        47, 2.420000000E-05,-2.550000000E-05,-1.029991967E-05
        48, 2.440000000E-05,-2.550000000E-05,-1.040766063E-05
        49, 2.460000000E-05,-2.550000000E-05,-1.049984137E-05
        50, 2.480000000E-05,-2.550000000E-05,-1.058227265E-05
        51, 2.500000000E-05,-2.550000000E-05,-1.065558603E-05
        52, 2.520000000E-05,-2.550000000E-05,-1.071429933E-05
        53, 2.540000000E-05,-2.550000000E-05,-1.075582396E-05
        54, 2.560000000E-05,-2.550000000E-05,-1.078298816E-05
        55, 2.580000000E-05,-2.550000000E-05,-1.079922839E-05
        56, 2.600000000E-05,-2.550000000E-05,-1.080666313E-05
        57, 2.620000000E-05,-2.550000000E-05,-1.080304033E-05
        58, 2.640000000E-05,-2.550000000E-05,-1.078531148E-05
        59, 2.660000000E-05,-2.550000000E-05,-1.075407648E-05
        60, 2.680000000E-05,-2.550000000E-05,-1.070881283E-05
        61, 2.700000000E-05,-2.550000000E-05,-1.065262624E-05
        62, 2.720000000E-05,-2.550000000E-05,-1.058767609E-05
        63, 2.740000000E-05,-2.550000000E-05,-1.051011171E-05
        64, 2.760000000E-05,-2.550000000E-05,-1.041718170E-05
        65, 2.780000000E-05,-2.550000000E-05,-1.030537903E-05
        66, 2.800000000E-05,-2.550000000E-05,-1.017990458E-05
        67, 2.820000000E-05,-2.550000000E-05,-1.004638839E-05
        68, 2.840000000E-05,-2.550000000E-05,-9.899832370E-06
        69, 2.860000000E-05,-2.550000000E-05,-9.734423211E-06
        70, 2.880000000E-05,-2.550000000E-05,-9.543070997E-06
        71, 2.900000000E-05,-2.550000000E-05,-9.332659118E-06
        72, 2.920000000E-05,-2.550000000E-05,-9.112484430E-06
        73, 2.940000000E-05,-2.550000000E-05,-8.876260441E-06
        74, 2.960000000E-05,-2.550000000E-05,-8.615268998E-06
        75, 2.980000000E-05,-2.550000000E-05,-8.319895956E-06
        76, 3.000000000E-05,-2.550000000E-05,-7.997770823E-06
        77, 3.020000000E-05,-2.550000000E-05,-7.659866515E-06
        78, 3.040000000E-05,-2.550000000E-05,-7.298320859E-06
        79, 3.060000000E-05,-2.550000000E-05,-6.900865393E-06
        80, 3.080000000E-05,-2.550000000E-05,-6.454021161E-06
        81, 3.100000000E-05,-2.550000000E-05,-5.963988468E-06
        82, 3.120000000E-05,-2.550000000E-05,-5.441985247E-06
        83, 3.140000000E-05,-2.550000000E-05,-4.879598951E-06
