nodenumber,    x-coordinate,    y-coordinate,  total-pressure
         1, 1.500000000E-05,-2.550000000E-05, 2.378155880E-04
         2, 1.520000000E-05,-2.550000000E-05, 2.369466096E-04
         3, 1.540000000E-05,-2.550000000E-05, 2.364721172E-04
         4, 1.560000000E-05,-2.550000000E-05, 2.370886998E-04
         5, 1.580000000E-05,-2.550000000E-05, 2.376513097E-04
         6, 1.600000000E-05,-2.550000000E-05, 2.383759149E-04
         7, 1.620000000E-05,-2.550000000E-05, 2.392171441E-04
         8, 1.640000000E-05,-2.550000000E-05, 2.401849321E-04
         9, 1.660000000E-05,-2.550000000E-05, 2.412334106E-04
        10, 1.680000000E-05,-2.550000000E-05, 2.423337355E-04
        11, 1.700000000E-05,-2.550000000E-05, 2.434852370E-04
        12, 1.720000000E-05,-2.550000000E-05, 2.446683063E-04
        13, 1.740000000E-05,-2.550000000E-05, 2.458411737E-04
        14, 1.760000000E-05,-2.550000000E-05, 2.469717002E-04
        15, 1.780000000E-05,-2.550000000E-05, 2.480536481E-04
        16, 1.800000000E-05,-2.550000000E-05, 2.490821935E-04
        17, 1.820000000E-05,-2.550000000E-05, 2.500292961E-04
        18, 1.840000000E-05,-2.550000000E-05, 2.508872968E-04
        19, 1.860000000E-05,-2.550000000E-05, 2.516853112E-04
        20, 1.880000000E-05,-2.550000000E-05, 2.524416535E-04
        21, 1.900000000E-05,-2.550000000E-05, 2.531474171E-04
        22, 1.920000000E-05,-2.550000000E-05, 2.537947926E-04
        23, 1.940000000E-05,-2.550000000E-05, 2.543905472E-04
        24, 1.960000000E-05,-2.550000000E-05, 2.549443888E-04
        25, 1.980000000E-05,-2.550000000E-05, 2.554672768E-04
        26, 2.000000000E-05,-2.550000000E-05, 2.559711597E-04
        27, 2.020000000E-05,-2.550000000E-05, 2.564636272E-04
        28, 2.040000000E-05,-2.550000000E-05, 2.569504423E-04
        29, 2.060000000E-05,-2.550000000E-05, 2.574348199E-04
        30, 2.080000000E-05,-2.550000000E-05, 2.579187804E-04
        31, 2.100000000E-05,-2.550000000E-05, 2.584064242E-04
        32, 2.120000000E-05,-2.550000000E-05, 2.588967059E-04
        33, 2.140000000E-05,-2.550000000E-05, 2.593840477E-04
        34, 2.160000000E-05,-2.550000000E-05, 2.598679711E-04
        35, 2.180000000E-05,-2.550000000E-05, 2.603467308E-04
        36, 2.200000000E-05,-2.550000000E-05, 2.608140409E-04
        37, 2.220000000E-05,-2.550000000E-05, 2.612623479E-04
        38, 2.240000000E-05,-2.550000000E-05, 2.616887310E-04
        39, 2.260000000E-05,-2.550000000E-05, 2.620937849E-04
        40, 2.280000000E-05,-2.550000000E-05, 2.624775254E-04
        41, 2.300000000E-05,-2.550000000E-05, 2.628436145E-04
        42, 2.320000000E-05,-2.550000000E-05, 2.631979141E-04
        43, 2.340000000E-05,-2.550000000E-05, 2.635465845E-04
        44, 2.360000000E-05,-2.550000000E-05, 2.638951308E-04
        45, 2.380000000E-05,-2.550000000E-05, 2.642464888E-04
        46, 2.400000000E-05,-2.550000000E-05, 2.646007248E-04
        47, 2.420000000E-05,-2.550000000E-05, 2.649574413E-04
        48, 2.440000000E-05,-2.550000000E-05, 2.653168333E-04
        49, 2.460000000E-05,-2.550000000E-05, 2.656782512E-04
        50, 2.480000000E-05,-2.550000000E-05, 2.660384401E-04
        51, 2.500000000E-05,-2.550000000E-05, 2.663917636E-04
        52, 2.520000000E-05,-2.550000000E-05, 2.667322773E-04
        53, 2.540000000E-05,-2.550000000E-05, 2.670568400E-04
        54, 2.560000000E-05,-2.550000000E-05, 2.673679735E-04
        55, 2.580000000E-05,-2.550000000E-05, 2.676708598E-04
        56, 2.600000000E-05,-2.550000000E-05, 2.679702193E-04
        57, 2.620000000E-05,-2.550000000E-05, 2.682708954E-04
        58, 2.640000000E-05,-2.550000000E-05, 2.685774211E-04
        59, 2.660000000E-05,-2.550000000E-05, 2.688935761E-04
        60, 2.680000000E-05,-2.550000000E-05, 2.692219563E-04
        61, 2.700000000E-05,-2.550000000E-05, 2.695623321E-04
        62, 2.720000000E-05,-2.550000000E-05, 2.699109658E-04
        63, 2.740000000E-05,-2.550000000E-05, 2.702630958E-04
        64, 2.760000000E-05,-2.550000000E-05, 2.706156174E-04
        65, 2.780000000E-05,-2.550000000E-05, 2.709681745E-04
        66, 2.800000000E-05,-2.550000000E-05, 2.713216766E-04
        67, 2.820000000E-05,-2.550000000E-05, 2.716773723E-04
        68, 2.840000000E-05,-2.550000000E-05, 2.720380813E-04
        69, 2.860000000E-05,-2.550000000E-05, 2.724066405E-04
        70, 2.880000000E-05,-2.550000000E-05, 2.727851238E-04
        71, 2.900000000E-05,-2.550000000E-05, 2.731739905E-04
        72, 2.920000000E-05,-2.550000000E-05, 2.735719920E-04
        73, 2.940000000E-05,-2.550000000E-05, 2.739782571E-04
        74, 2.960000000E-05,-2.550000000E-05, 2.743929765E-04
        75, 2.980000000E-05,-2.550000000E-05, 2.748157345E-04
        76, 3.000000000E-05,-2.550000000E-05, 2.752453460E-04
        77, 3.020000000E-05,-2.550000000E-05, 2.756810672E-04
        78, 3.040000000E-05,-2.550000000E-05, 2.761226792E-04
        79, 3.060000000E-05,-2.550000000E-05, 2.765695206E-04
        80, 3.080000000E-05,-2.550000000E-05, 2.770205439E-04
        81, 3.100000000E-05,-2.550000000E-05, 2.774762974E-04
        82, 3.120000000E-05,-2.550000000E-05, 2.779387175E-04
        83, 3.140000000E-05,-2.550000000E-05, 2.784088194E-04
        84, 3.160000000E-05,-2.550000000E-05, 2.788863020E-04
