nodenumber,    x-coordinate,    y-coordinate,  total-pressure
         1, 1.500000000E-05,-2.550000000E-05, 2.467261845E-04
         2, 1.520000000E-05,-2.550000000E-05, 2.462852872E-04
         3, 1.540000000E-05,-2.550000000E-05, 2.460932690E-04
         4, 1.560000000E-05,-2.550000000E-05, 2.463530641E-04
         5, 1.580000000E-05,-2.550000000E-05, 2.464526609E-04
         6, 1.600000000E-05,-2.550000000E-05, 2.466404615E-04
         7, 1.620000000E-05,-2.550000000E-05, 2.468559897E-04
         8, 1.640000000E-05,-2.550000000E-05, 2.471013125E-04
         9, 1.660000000E-05,-2.550000000E-05, 2.473677414E-04
        10, 1.680000000E-05,-2.550000000E-05, 2.476494354E-04
        11, 1.700000000E-05,-2.550000000E-05, 2.479449142E-04
        12, 1.720000000E-05,-2.550000000E-05, 2.482544006E-04
        13, 1.740000000E-05,-2.550000000E-05, 2.485755821E-04
        14, 1.760000000E-05,-2.550000000E-05, 2.489037054E-04
        15, 1.780000000E-05,-2.550000000E-05, 2.492351067E-04
        16, 1.800000000E-05,-2.550000000E-05, 2.495696534E-04
        17, 1.820000000E-05,-2.550000000E-05, 2.499071704E-04
        18, 1.840000000E-05,-2.550000000E-05, 2.502444205E-04
        19, 1.860000000E-05,-2.550000000E-05, 2.505777338E-04
        20, 1.880000000E-05,-2.550000000E-05, 2.509049631E-04
        21, 1.900000000E-05,-2.550000000E-05, 2.512259797E-04
        22, 1.920000000E-05,-2.550000000E-05, 2.515421762E-04
        23, 1.940000000E-05,-2.550000000E-05, 2.518538085E-04
        24, 1.960000000E-05,-2.550000000E-05, 2.521590087E-04
        25, 1.980000000E-05,-2.550000000E-05, 2.524571864E-04
        26, 2.000000000E-05,-2.550000000E-05, 2.527490257E-04
        27, 2.020000000E-05,-2.550000000E-05, 2.530354751E-04
        28, 2.040000000E-05,-2.550000000E-05, 2.533173193E-04
        29, 2.060000000E-05,-2.550000000E-05, 2.535935548E-04
        30, 2.080000000E-05,-2.550000000E-05, 2.538643679E-04
        31, 2.100000000E-05,-2.550000000E-05, 2.541300306E-04
        32, 2.120000000E-05,-2.550000000E-05, 2.543905004E-04
        33, 2.140000000E-05,-2.550000000E-05, 2.546465149E-04
        34, 2.160000000E-05,-2.550000000E-05, 2.548976252E-04
        35, 2.180000000E-05,-2.550000000E-05, 2.551445886E-04
        36, 2.200000000E-05,-2.550000000E-05, 2.553871891E-04
        37, 2.220000000E-05,-2.550000000E-05, 2.556244140E-04
        38, 2.240000000E-05,-2.550000000E-05, 2.558569863E-04
